record_id,quorum_id_number,tweet,specific_event,location,relationship,vigil,persons_mentioned___1,persons_mentioned___2,persons_mentioned___3,persons_mentioned___4,type_of_shooting___1,type_of_shooting___2,type_of_shooting___3,type_of_shooting___4,type_of_shooting___5,other_shooting,type_of_location___1,type_of_location___2,type_of_location___3,type_of_location___4,type_of_location___5,type_of_location___6,type_of_location___7,other_location,type_of_relationship___1,type_of_relationship___2,type_of_relationship___3,type_of_relationship___4,type_of_relationship___5,type_of_relationship___6,type_of_relationship___7,other_relationship,expressions___1,expressions___2,expressions___3,expressions___4,gcall_to_action,scall_to_action,voting_c2a,victim_race___1,victim_age___1,victim_sex_gender___1,victim_criminal___1,victim_mental___1,victim_veteran___1,victim_stigma___1,victim_age_1___1,victim_age_1___2,victim_age_1___3,victim_age_1___4,victim_race_1___1,victim_race_1___2,victim_race_1___3,victim_race_1___4,victim_race_1___5,victim_race_1___6,victim_race_1___7,victim_race_other,victim_sex_gender1___1,victim_sex_gender1___2,victim_sex_gender1___3,victim_sex_gender1___4,victim_specify_sex___1,victim_specify_sex___2,victim_specify_sex___3,victim_specify_sex___4,victim_specify_sex___5,victim_specify_sex___6,victim_specify_sex___7,victim_specify_sex___8,victim_specify_sex___9,victim_specify_sex___10,victim_specify_sex___11,victim_specify_sex___12,victim_sex_other,victim_mental1___1,victim_mental1___2,victim_mental1___3,victim_mental1___4,victim_mental1___5,victim_mental1___6,victim_mental1___7,victim_mental1___8,victim_mental_other,shooter_race___1,shooter_age___1,shooter_sex_gender___1,shooter_criminal___1,shooter_mental___1,shooter_veteran___1,shooter_stigma___1,shooter_race_1___1,shooter_race_1___2,shooter_race_1___3,shooter_race_1___4,shooter_race_1___5,shooter_race_1___6,shooter_race_1___7,shooter_race_other,shooter_age_1___1,shooter_age_1___2,shooter_age_1___3,shooter_age_1___4,shooter_sex_gender1___1,shooter_sex_gender1___2,shooter_sex_gender1___3,shooter_specify_sex___1,shooter_specify_sex___2,shooter_specify_sex___3,shooter_specify_sex___4,shooter_specify_sex___5,shooter_specify_sex___6,shooter_specify_sex___7,shooter_specify_sex___8,shooter_specify_sex___9,shooter_specify_sex___10,shooter_specify_sex___11,shooter_specify_sex___12,shooter_sex_other,shooter_mental1___1,shooter_mental1___2,shooter_mental1___3,shooter_mental1___4,shooter_mental1___5,shooter_mental1___6,shooter_mental1___7,shooter_mental1___8,shooter_mental_other,framing___1,framing___2,framing___3,framing___4,framing___5,framing___6,framing___7,framing___8,framing___9,framing___10,framing___11,framing___12,framing___13,framing___14,blame___1,blame___2,blame___3,blame___4,blame___5,blame___6,blame___7,blame___8,blame___9,blame___10,blame___11,blame___12,blame___13,blame___14,blame___15,blame___16,blame___17,blame___18,blame___19,blame_party,blame_other,consequences___1,consequences___2,consequences___3,consequences___4,consequences___5,consequences___6,consequences___7,consequences___8,consequences_other,policy___1,policy___2,policy___3,policy___4,policy___5,policy___6,policy___7,policy___8,policy___9,policy___10,policy___11,policy___12,policy___13,policy_restrictive___1,policy_restrictive___2,policy_restrictive___3,policy_restrictive___4,policy_restrictive___5,policy_restrictive___6,policy_restrictive___7,policy_restrictive___8,policy_restrictive___9,policy_restrictive___10,policy_restrictive___11,policy_restrictive___12,policy_restrictive___13,policy_restrictive___14,policy_restrictive___15,policy_restrictive___16,policy_permissive___1,policy_permissive___2,policy_permissive___3,policy_permissive___4,policy_permissive___5,policy_permissive___6,policy_permissive___7,policy_permissive___8,policy_permissive___9,policy_permissive___10,policy_permissive___11,policy_permissive___12,policy_other,addl_notes,xtwitter_coding_instrument_complete,dbl_code,coder,coder_2,coding_assignment_complete
1,128376891,"Having some really incredible discussions about school funding, infrastructure, raising the minimum wage, gun violence, community partnerships, and so much more. https://t.co/DHHqG9Zrm3",0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
2,284473394,"As Chair of the @PALegBlkCaucus, I rose to speak on behalf of Black Pennsylvanians. We have to recognize that our children are dealing with shootings every single day. We need to address the systemic underfunding that has led to this gun violence epidemic. https://t.co/cu1Qzk3PFJ",0,0,0,-,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,1,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
3,279942004,"This Arbor Day, we can all agree that trees are unbe-leaf-ably important to our environment & quali-tree of life! ?????? Want to learn more about urban forests, or throw a mulching party? Check out the courses offered by @TreePgh! https://t.co/VwQaFwYxct https://t.co/jx4OoFdWR8",0,0,0,-,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,This tweet needs to be removed,2,1,1,2,2
4,74419967,I would like to ask you to please pray for the four victims of the shooting in Lebanon Pennsylvania.  As we get more details we will share them with you.  Many thanks to the city police for the prompt response in apprehending the three suspects.  https://t.co/JGGZYQcI5s,1,1,0,-,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
5,80956277,"mttaylor73 Then you would have heard a sportsman in the audience stand up and speak on behalf of gun advocates. Today was a start. I believe that governing starts with due diligence, not imposing my perspective solely on my neighbors",0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,more context needed,2,1,1,2,2
6,50892035,"Tonight, @HeedingGodsCall & I will have a moving reception for the Souls Shot Exhibit, 5-7 p.m., East Wing Rotunda in the State Capitol in Harrisburg. These lives were lost to gun violence, but they will be memorialized through moving art pieces. Join us. https://t.co/vgEpAgS8rl",0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,need to clarify religious aspect,2,1,1,2,2
7,208914327,"Applications for PCCD 2021 Gun Violence Reduction Grants are now open. For community-based organizations and local units of govt with the highest rates of gun violence. Grants of up to $225K. Must apply by June 30. For more information, please contact my office at (215) 684-3738. https://t.co/FVt4EzUdNw",0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
8,128381424,"I discuss a Hollywood grade film production facility in Aston Township named @SunCenterStudio , remarks on a landmark gun safety measure, an update on REAL ID, and a Thanksgiving message to you � all in this E-Newsletter.  https://t.co/0fwhPV82KV https://t.co/YMTTfqmdhJ",0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
9,166349116,I had the pleasure of joining Melany Nelson on �The Power of One� on @LaSalleTVPhilly.  Our lawmaker panel discussed Philadelphia�s gun violence.  You can watch the program on YouTube or on Philadelphia cable (Comcast ch. 56/Verizon ch. 36).  Watch herehttps://t.co/bBi0Ng53r4,0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
10,208383806,"My children have a right be able to sleep through the night, to live in a community where they feel safe. My conservative colleagues won�t even let the City of Philadelphia enact their own gun laws to create safer neighborhoods.https://t.co/2zXoZSUg1L",0,1,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,2,1,1,2,2
11,239845364,"Individual liberty, equal rights for all, and accountability form the three dimensions of freedom. It is possible to attain the goals of the 2nd Amendment, but this bill has a one-dimensional look at freedom that would give us a flat, dangerous society. https://t.co/DSKWIK02DR",0,0,0,-,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,2,2
